data;count;death
2020-02-21;76288;2345
2020-02-22;76936;2443
2020-02-23;77150;2592
2020-02-24;77658;2663
2020-02-25;78064;2715
2020-02-26;78497;2744
2020-02-27;78824;2788
2020-02-28;79251;2835
2020-02-29;79824;2870
2020-03-01;80026;2912
2020-03-02;80151;2943
2020-03-03;80270;2981
2020-03-04;80409;3012
2020-03-05;80552;3042
2020-03-06;80651;3070
2020-03-07;80699;3097
2020-03-08;80735;3119
2020-03-09;80754;3136
2020-03-10;80778;3158
2020-03-11;80793;3169
2020-03-12;80813;3176
2020-03-13;80824;3189
2020-03-14;80844;3199
2020-03-15;80849;3199
