data;count;death
25.02.2020;13;1
26.02.2020;18;1
27.02.2020;38;1
28.02.2020;57;1
29.02.2020;100;1
01.03.2020;130;1
02.03.2020;191;3
03.03.2020;212;4
04.03.2020;285;4
05.03.2020;423;7
06.03.2020;653;9
07.03.2020;949;16
08.03.2020;1126;19
09.03.2020;1412;30
10.03.2020;1784;33
11.03.2020;2281;48
12.03.2020;2876;61
13.03.2020;3661;79
14.03.2020;4499;91
15.03.2020;5423;127
16.03.2020;6633;148
17.03.2020;7730;175
18.03.2020;9134;244
19.03.2020;10995;372
20.03.2020;12612;450
21.03.2020;14459;562
22.03.2020;16018;674
23.03.2020;19856;860
24.03.2020;22304;1100
25.03.2020;25233;1331
26.03.2020;29155;1696
27.03.2020;32964;1995
28.03.2020;37611;2314
29.03.2020;40174;2606
30.03.2020;43973;3018
31.03.2020;51487;3516
01.04.2020;56325;4025
02.04.2020;58441;5380
03.04.2020;63633;6496
04.04.2020;68605;7560
05.04.2020;70478;8078
06.04.2020;74390;8911
07.04.2020;78167;10328
08.04.2020;82048;10869
09.04.2020;86334;12210
10.04.2020;90676;13197
11.04.2020;93790;13832
12.04.2020;95403;14393
13.04.2020;98076;14967
14.04.2020;103573;15729
15.04.2020;106206;17167
16.04.2020;108847;17920
17.04.2020;109252;18681
18.04.2020;111821;19323
19.04.2020;112606;19718
20.04.2020;114657;20265
21.04.2020;117324;20796
22.04.2020;119151;21340
23.04.2020;120804;21856
24.04.2020;122577;22245
25.04.2020;124414;22614
26.04.2020;124575;22856
27.04.2020;125770;23293
28.04.2020;126835;23660
29.04.2020;128442;24087
30.04.2020;129581;24376
01.05.2020;130185;24594
02.05.2020;130979;24760
03.05.2020;131287;24895
04.05.2020;131863;25201
05.05.2020;132967;25531
06.05.2020;137150;25809
07.05.2020;137799;25987
08.05.2020;138421;26230
09.05.2020;138854;26310
10.05.2020;139063;26380
11.05.2020;139519;26643
12.05.2020;140227;26991
13.05.2020;140734;27074
