data;count;death
24.02.2020;16;
25.02.2020;18;
26.02.2020;21;
27.02.2020;26;
28.02.2020;53;
29.02.2020;66;
01.03.2020;117;
02.03.2020;150;
03.03.2020;188;
04.03.2020;240;
05.03.2020;349;
06.03.2020;534;
07.03.2020;684;
08.03.2020;1040;
09.03.2020;1112;2
10.03.2020;1460;2
11.03.2020;1884;3
12.03.2020;2369;5
13.03.2020;3062;8
14.03.2020;3795;8
15.03.2020;4838;12
16.03.2020;6012;12
17.03.2020;7156;12
18.03.2020;8198;12
19.03.2020;10999;20
20.03.2020;13957;31
21.03.2020;16662;47
22.03.2020;18610;55
23.03.2020;22672;86
24.03.2020;27436;114
25.03.2020;31554;149
26.03.2020;36508;198
27.03.2020;42288;253
28.03.2020;48582;325
29.03.2020;52547;389
30.03.2020;57298;455
31.03.2020;61913;583
01.04.2020;67366;732
02.04.2020;73522;872
03.04.2020;79696;1017
04.04.2020;85778;1158
05.04.2020;91714;1342
06.04.2020;95391;1434
07.04.2020;99225;1607
08.04.2020;103228;1861
09.04.2020;108202;2107
10.04.2020;113525;2373
11.04.2020;117658;2544
12.04.2020;120479;2673
13.04.2020;123016;2799
14.04.2020;125098;2969
15.04.2020;127584;3254
16.04.2020;130450;3569
17.04.2020;133830;3868
18.04.2020;137439;4110
19.04.2020;139897;4294
20.04.2020;141672;4404
21.04.2020;143457;4598
22.04.2020;145694;4879
23.04.2020;148046;5094
24.04.2020;150383;5321
25.04.2020;152438;5500
26.04.2020;154175;5640
27.04.2020;155193;5750
28.04.2020;156337;5913
29.04.2020;157641;6115
30.04.2020;159119;6288
