data;count;death
19 Feb 2020;2;2
20 Feb 2020;5;2
21 Feb 2020;18;4
22 Feb 2020;28;6
23 Feb 2020;43;8
24 Feb 2020;61;12
25 Feb 2020;95;15
26 Feb 2020;139;19
27 Feb 2020;245;26
28 Feb 2020;388;34
29 Feb 2020;593;43
1 Mar 2020;978;54
2 Mar 2020;1501;54
3 Mar 2020;2336;77
4 Mar 2020;2922;92
5 Mar 2020;3513;92
6 Mar 2020;4747;124
7 Mar 2020;5823;145
8 Mar 2020;6566;194
9 Mar 2020;7161;237
10 Mar 2020;8042;291
11 Mar 2020;9000;354
12 Mar 2020;10075;429
13 Mar 2020;11364;514
14 Mar 2020;12729;611
15 Mar 2020;13938;724
16 Mar 2020;14991;853
17 Mar 2020;16169;988
18 Mar 2020;17361;1135
19 Mar 2020;18407;1284
20 Mar 2020;19644;1433
21 Mar 2020;20610;1556
22 Mar 2020;21638;1685
23 Mar 2020;23049;1812
24 Mar 2020;24811;1934
25 Mar 2020;27017;2206
26 Mar 2020;29406;2234
27 Mar 2020;32332;2378
28 Mar 2020;35408;2517
29 Mar 2020;38309;2640
30 Mar 2020;41495;2757
31 Mar 2020;44605;2898
1 Apr 2020;47593;3036
