data;count;death
31-01-2020;2;0
06-02-2020;3;0
21-02-2020;20;1
22-02-2020;79;2
23-02-2020;159;3
24-02-2020;231;7
25-02-2020;325;10
26-02-2020;470;12
27-02-2020;650;17
28-02-2020;888;21
29-02-2020;1128;29
01-03-2020;1694;34
02-03-2020;2036;52
03-03-2020;2502;79
04-03-2020;3089;107
05-03-2020;3858;148
06-03-2020;4636;197
07-03-2020;5883;233
08-03-2020;7375;366
09-03-2020;9172;463
10-03-2020;10149;631
11-03-2020;12462;827
12-03-2020;15113;1016
13-03-2020;17660;1266
14-03-2020;21157;1441
15-03-2020;24747;1809
16-03-2020;27980;2158
17-03-2020;31506;2503
18-03-2020;35713;2978
19-03-2020;41035;3405
20-03-2020;47021;4032
21-03-2020;53578;4825
22-03-2020;59138;5476
23-03-2020;63927;6077
24-03-2020;69176;6820
25-03-2020;74386;7503
26-03-2020;80539;8165
