data;count
16 Jan 2020;1
24 Jan 2020;2
25 Jan 2020;3
26 Jan 2020;4
28 Jan 2020;7
29 Jan 2020;8
30 Jan 2020;14
31 Jan 2020;17
1 Feb 2020;20
4 Feb 2020;23
5 Feb 2020;25
8 Feb 2020;26
11 Feb 2020;28
12 Feb 2020;29
13 Feb 2020;33
14 Feb 2020;41
15 Feb 2020;53
16 Feb 2020;59
17 Feb 2020;66
18 Feb 2020;74
19 Feb 2020;84
20 Feb 2020;94
21 Feb 2020;109
22 Feb 2020;135
23 Feb 2020;147
24 Feb 2020;160
25 Feb 2020;171
26 Feb 2020;189
27 Feb 2020;214
28 Feb 2020;233
29 Feb 2020;242
1 Mar 2020;256
2 Mar 2020;274
3 Mar 2020;274
