data;count;death
2020-01-31;1;
2020-02-09;2;
2020-02-24;3;1
2020-02-25;9;1
2020-02-26;17;1
2020-02-27;33;1
2020-02-28;54;1
2020-02-29;81;1
2020-03-01;135;1
2020-03-02;192;1
2020-03-03;263;2
2020-03-04;341;3
2020-03-05;532;3
2020-03-06;757;8
2020-03-07;1080;10
2020-03-08;1513;28
2020-03-09;2277;35
2020-03-10;3258;48
2020-03-11;4404;86
2020-03-12;5876;123
2020-03-13;7596;141
2020-03-14;9722;292
2020-03-15;11451;314
2020-03-16;13939;496
2020-03-17;17637;590
2020-03-18;21677;765
2020-03-19;26166;993
2020-03-20;31680;1326
2020-03-21;36557;1672
2020-03-22;41182;2136
2020-03-23;48828;2707
2020-03-24;57382;3303
2020-03-25;66327;3918
2020-03-26;75486;4663
2020-03-27;83749;5502
2020-03-28;90159;6217
2020-03-29;95961;6913
2020-03-30;104107;7733
2020-03-31;111541;8662
2020-04-01;119096;9539
2020-04-02;126337;10384
2020-04-03;133017;11164
2020-04-04;138587;11834
2020-04-05;142237;12462
2020-04-06;147510;13219
2020-04-07;153082;13976
2020-04-08;158810;14757
2020-04-09;163416;15399
2020-04-10;168024;15899
2020-04-11;171981;16505
2020-04-12;175141;17056
2020-04-13;178348;17591
2020-04-14;182848;18276
2020-04-15;186606;18893
2020-04-16;190537;19478
2020-04-17;194470;20043
2020-04-18;192961;20453
2020-04-19;195179;20852
2020-04-20;198125;21282
2020-04-21;200441;21717
2020-04-22;203358;22157
2020-04-23;205461;22524
2020-04-24;207958;22902
2020-04-25;209604;23190
2020-04-26;211266;23521
2020-04-27;212779;23822
2020-04-28;213602;24275
2020-04-29;214835;24543
2020-04-30;216216;24824
2020-05-01;217452;25100
2020-05-02;218382;25264
2020-05-03;218845;25428
2020-05-04;219849;25613
2020-05-05;220693;25857
2020-05-06;221447;26070
2020-05-07;222857;26299
2020-05-08;223578;26478
2020-05-09;224390;26621
2020-05-10;227436;26744
2020-05-11;228030;26920
2020-05-12;228691;27104
2020-05-13;229540;27321
2020-05-14;230183;27459
2020-05-15;230698;27563
2020-05-16;231350;27650
2020-05-17;231606;27709
2020-05-18;232037;27778
2020-05-19;232555;27888
2020-05-20;233037;27940
2020-05-21;234824;28628
2020-05-22;235290;28678
2020-05-23;235772;28752
2020-05-24;235400;26834
2020-05-25;236259;27117
2020-05-26;236769;27118
2020-05-27;237906;27119
2020-05-28;238564;27121
2020-05-29;239228;27125
2020-05-30;239429;27127
2020-05-31;239638;27127
2020-06-01;239932;27127
2020-06-02;240326;27128
2020-06-03;240660;27133
2020-06-04;240978;28130
2020-06-05;241310;28163
2020-06-06;241550;28178
2020-06-07;241717;28197
2020-06-08;241966;28209
2020-06-09;242280;28226
2020-06-10;242707;28236
2020-06-11;243209;28259
2020-06-12;243605;28275
2020-06-13;243928;28284
2020-06-14;244109;28291
2020-06-15;244328;28299
2020-06-16;244683;28306
2020-06-17;245268;28312
2020-06-18;245575;28315
2020-06-20;245938;28322
