data;count;death
2020-03-06;37;
2020-03-07;43;
2020-03-08;58;
2020-03-09;67;
2020-03-10;91;1
2020-03-11;131;1
2020-03-12;180;2
2020-03-13;218;2
2020-03-14;265;4
2020-03-15;291;6
2020-03-16;330;8
2020-03-17;422;10
2020-03-18;511;14
2020-03-19;638;15
2020-03-20;834;15
2020-03-21;918;15
2020-03-22;939;37
2020-03-23;1165;48
2020-03-24;1211;53
2020-03-25;1354;60
2020-03-26;1401;67
2020-03-27;1688;76
2020-03-28;1727;87
2020-03-29;1837;93
2020-03-30;1962;105
2020-03-31;2091;120
2020-04-01;2195;132
2020-04-02;2271;141
2020-04-03;2377;155
2020-04-04;2442;165
2020-04-05;2508;177
2020-04-06;2508;177
