data;count;death
2020-02-28;19;
2020-02-29;23;
2020-03-01;35;
2020-03-02;40;
2020-03-03;51;
2020-03-04;85;
2020-03-05;114;1
2020-03-06;160;2
2020-03-07;206;2
2020-03-08;271;3
2020-03-09;321;5
2020-03-10;373;6
2020-03-11;456;8
2020-03-12;590;8
2020-03-13;797;10
2020-03-14;1061;21
2020-03-15;1391;35
2020-03-16;1543;55
2020-03-17;1950;71
2020-03-18;2626;103
2020-03-19;3269;144
2020-03-20;3983;177
2020-03-21;5018;233
2020-03-22;5683;281
2020-03-23;6650;335
2020-03-24;8077;422
2020-03-25;9529;578
2020-03-26;11658;759
2020-03-27;14543;1019
2020-03-28;17089;1228
2020-03-29;19522;1408
2020-03-30;22141;1608
2020-03-31;25150;1808
2020-04-01;29474;2352
2020-04-02;33718;2921
2020-04-03;38690;3605
2020-04-04;41903;4313
2020-04-05;47806;4932
2020-04-06;51608;5373
2020-04-07;55242;6159
2020-04-08;60733;7097
2020-04-09;65077;7978
2020-04-10;73758;8958
2020-04-11;78991;9875
2020-04-12;84279;10512
2020-04-13;88621;11329
2020-04-14;93873;12107
2020-04-15;98476;12868
2020-04-16;103093;13729
2020-04-17;108692;14576
2020-04-18;114217;15464
2020-04-19;120067;16060
2020-04-20;124743;16509
2020-04-21;129044;17337
2020-04-22;133495;18100
2020-04-23;138078;18738
2020-04-24;143464;19506
2020-04-25;148377;20319
2020-04-26;152840;20732
2020-04-27;157149;21092
2020-04-28;161145;21678
2020-04-29;165221;26097
2020-04-30;171253;26771
2020-05-01;177454;27510
2020-05-02;182260;28131
2020-05-03;186599;28446
2020-05-04;190584;28734
2020-05-05;194990;29427
2020-05-06;201101;30076
2020-05-07;206715;30615
2020-05-08;211364;31241
2020-05-09;215260;31587
2020-05-10;219183;31855
2020-05-11;223060;32065
2020-05-12;226463;32692
2020-05-13;229705;33186
2020-05-14;233151;33614
2020-05-15;236711;33998
2020-05-16;240161;34466
2020-05-17;243695;34636
2020-05-18;246406;34796
2020-05-19;248818;35341
2020-05-20;248293;35704
2020-05-21;250908;36042
2020-05-22;254195;36393
2020-05-23;257154;36675
2020-05-24;259559;36793
2020-05-25;261184;36914
2020-05-26;265227;37048
2020-05-27;267240;37460
2020-05-28;269127;37837
2020-05-29;271222;38161
2020-05-30;272826;38376
