data;count;death
Feb 01 2020;8;
Feb 02 2020;11;
Feb 05 2020;12;
Feb 20 2020;14;
Feb 26 2020;15;
Feb 27 2020;15;
Feb 28 2020;19;
Feb 29 2020;24;1
Mar 01 2020;42;2
Mar 02 2020;57;6
Mar 03 2020;85;9
Mar 04 2020;111;12
Mar 05 2020;175;12
Mar 06 2020;252;18
Mar 07 2020;352;19
Mar 08 2020;495;22
Mar 09 2020;643;26
Mar 10 2020;932;31
Mar 11 2020;1203;38
Mar 12 2020;1598;42
Mar 13 2020;2163;50
Mar 14 2020;2825;56
Mar 15 2020;3497;62
Mar 16 2020;4372;75
Mar 17 2020;5656;96
Mar 18 2020;8074;122
Mar 19 2020;12018;174
Mar 20 2020;17438;229
Mar 21 2020;23710;296
Mar 22 2020;32341;405
Mar 23 2020;42749;516
Mar 24 2020;52685;670
Mar 25 2020;64916;906
Mar 26 2020;81964;1159
Mar 27 2020;100997;1592
Mar 28 2020;121105;2039
Mar 29 2020;140223;2431
Mar 30 2020;160686;2985
Mar 31 2020;186082;3806
Apr 01 2020;212814;4746
Apr 02 2020;241626;5821
Apr 03 2020;273808;7007
Apr 04 2020;307076;8359
Apr 05 2020;333593;9534
Apr 06 2020;362955;10748
Apr 07 2020;393707;12674
Apr 08 2020;425746;14610
Apr 09 2020;459989;16446
Apr 10 2020;493567;18544
Apr 11 2020;525436;20454
Apr 12 2020;553493;21936
Apr 13 2020;578178;23398
Apr 14 2020;604165;25776
Apr 15 2020;633630;28214
Apr 16 2020;665706;30355
Apr 17 2020;696621;32435
Apr 18 2020;724705;34178
Apr 19 2020;750718;35812
Apr 20 2020;775850;37455
Apr 21 2020;801228;40079
Apr 22 2020;830274;42198
Apr 23 2020;862605;44038
Apr 24 2020;898742;46091
Apr 25 2020;933698;47916
Apr 26 2020;960582;49077
Apr 27 2020;982668;50314
Apr 28 2020;1007097;52518
Apr 29 2020;1033001;55054
Apr 30 2020;1062675;57137
May 01 2020;1095682;58931
May 02 2020;1126250;60599
May 03 2020;1151643;61716
May 04 2020;1172921;62593
May 05 2020;1195173;65028
May 06 2020;1220032;67729
May 07 2020;1247567;69700
May 08 2020;1274681;71395
May 09 2020;1300244;72950
May 10 2020;1320941;73895
May 11 2020;1338720;74735
May 12 2020;1360195;76326
May 13 2020;1380763;78041
May 14 2020;1407531;79899
May 15 2020;1432899;81423
May 16 2020;1457426;82654
May 17 2020;1477157;83439
May 18 2020;1498444;84321
May 19 2020;1517926;85656
May 20 2020;1540294;87184
May 21 2020;1565324;88470
May 22 2020;1589237;89732
May 23 2020;1612021;90821
May 24 2020;1632307;91467
May 25 2020;1650893;91971
May 26 2020;1667594;92605
May 27 2020;1686274;93984
May 28 2020;1709326;95200
May 29 2020;1732933;96375
May 30 2020;1756770;97354
May 31 2020;1778473;97959
Jun 01 2020;1794546;98437
Jun 02 2020;1814620;99476
Jun 03 2020;1834319;100480
Jun 04 2020;1855340;101389
