BinCenter;Histo01;Histo02;Histo03;Histo04
60006.5;12;5;5;0
60019.5;15;7;7;0
60032.5;11;5;5;0
60045.5;6;7;7;0
60058.5;6;8;8;0
60071.5;8;7;7;0
60084.5;7;15;15;0
60097.5;7;6;6;0
60110.5;1;9;9;0
60123.5;13;11;11;0
60136.5;9;8;8;0
60149.5;5;10;10;0
60162.5;12;8;8;0
60175.5;9;11;11;0
60188.5;9;7;7;0
60201.5;9;9;9;0
60214.5;8;5;5;0
60227.5;7;8;8;0
60240.5;9;8;8;0
60253.5;4;6;6;0
60266.5;11;10;10;0
60279.5;11;7;7;0
60292.5;8;10;10;0
60305.5;8;4;4;0
60318.5;15;11;11;0
60331.5;11;9;9;0
60344.5;11;5;5;0
60357.5;9;8;8;0
60370.5;5;5;5;0
60383.5;8;8;8;0
60396.5;8;3;3;0
60409.5;1;5;5;0
60422.5;6;4;4;0
60435.5;11;10;10;0
60448.5;7;12;12;0
60461.5;5;6;6;0
60474.5;4;8;8;0
60487.5;8;11;11;0
60500.5;9;4;4;0
60513.5;9;5;5;0
60526.5;7;8;8;0
60539.5;7;14;14;0
60552.5;6;6;6;0
60565.5;5;7;7;0
60578.5;7;4;4;0
60591.5;8;9;9;0
60604.5;7;8;8;0
60617.5;7;10;10;0
60630.5;10;14;14;0
60643.5;6;5;5;0
60656.5;8;7;7;0
60669.5;5;9;9;0
60682.5;12;7;7;0
60695.5;11;13;13;0
60708.5;7;4;4;0
60721.5;10;6;6;0
60734.5;9;7;7;0
60747.5;5;1;1;0
60760.5;5;11;11;0
60773.5;8;10;10;0
60786.5;4;5;5;0
60799.5;14;2;2;0
60812.5;4;5;5;0
60825.5;3;12;12;0
60838.5;9;10;10;0
60851.5;10;3;3;0
60864.5;8;7;7;0
60877.5;6;5;5;0
60890.5;6;8;8;0
60903.5;7;7;7;0
60916.5;7;6;6;0
60929.5;7;10;10;0
60942.5;7;7;7;0
60955.5;7;12;12;0
60968.5;4;8;8;0
60981.5;13;13;13;0
60994.5;4;4;4;0
61007.5;11;6;6;0
61020.5;15;5;5;0
61033.5;7;7;7;0
61046.5;3;6;6;0
61059.5;7;12;12;0
61072.5;12;7;7;0
61085.5;10;7;7;0
61098.5;5;7;7;0
61111.5;5;14;14;0
61124.5;3;3;3;0
61137.5;12;8;8;0
61150.5;8;7;7;0
61163.5;8;9;9;0
61176.5;11;6;6;0
61189.5;7;9;9;0
61202.5;9;15;15;0
61215.5;5;5;5;0
61228.5;7;3;3;0
61241.5;6;8;8;0
61254.5;4;5;5;0
61267.5;11;8;8;0
61280.5;8;4;4;0
61293.5;6;7;7;0
61306.5;4;7;7;0
61319.5;5;6;6;0
61332.5;6;10;10;0
61345.5;5;4;4;0
61358.5;7;11;11;0
61371.5;6;8;8;0
61384.5;6;6;6;0
61397.5;4;10;10;0
61410.5;7;6;6;0
61423.5;8;10;10;0
61436.5;9;3;3;0
61449.5;10;8;8;0
61462.5;8;9;9;0
61475.5;10;4;4;0
61488.5;4;6;6;0
61501.5;10;6;6;0
61514.5;9;9;9;0
61527.5;8;8;8;0
61540.5;10;14;14;0
61553.5;5;6;6;0
61566.5;3;11;11;0
61579.5;7;7;7;0
61592.5;11;7;7;0
61605.5;11;11;11;0
61618.5;9;7;7;0
61631.5;7;8;8;0
61644.5;10;6;6;0
61657.5;6;13;13;0
61670.5;5;4;4;0
61683.5;12;9;9;0
61696.5;7;13;13;0
61709.5;5;4;4;0
61722.5;12;4;4;0
61735.5;7;11;11;0
61748.5;9;7;7;0
61761.5;9;8;8;0
61774.5;5;13;13;0
61787.5;6;7;7;0
61800.5;12;7;7;0
61813.5;9;8;8;0
61826.5;8;13;13;0
61839.5;12;8;8;0
61852.5;15;7;7;0
