ID,eff,FWHM,QBER,DCRf_50DT,DCRf_20DT
1,10,510.3059387728288,0.03382038734997151,500.0,
1,20,217.8525847488302,0.0010088572597772877,1850.0,
1,30,173.2994814355606,0.0050886219826908495,3800.0,
2,10,164.71988145409244,0.00309956647102306,2000.0,
2,20,122.40553314154587,0.03789740993401236,5500.0,
2,30,113.1306598493756,0.020083248614121745,10650.0,
8,10,270.9596187844325,0.001626892445573487,900.0,790.0
8,20,131.90418288304738,0.03631464971971197,2900.0,2800.0
8,30,102.15949386111235,0.009074732689119028,5400.0,7000.0
13,10,206.91769369778513,0.0017634210612517869,,
13,20,119.22753272554318,0.003930555710820761,,
